year,region,province,toll_motorways,free_motorways,simple_road
2020,Islas Baleares,Baleares,0,0,0
2021,Islas Baleares,Baleares,0,0,0
2022,Islas Baleares,Baleares,0,0,0
2013,Canarias,"Palmas, Las",0,0,0
2014,Canarias,"Palmas, Las",0,0,0
2015,Canarias,"Palmas, Las",0,0,0
2016,Canarias,"Palmas, Las",0,0,0
2017,Canarias,"Palmas, Las",0,0,0
2018,Canarias,"Palmas, Las",0,0,0
2019,Canarias,"Palmas, Las",0,0,0
2020,Canarias,"Palmas, Las",0,0,0
2021,Canarias,"Palmas, Las",0,0,0
2022,Canarias,"Palmas, Las",0,0,0
2013,Canarias,"Tenerife, S.C.",0,0,0
2014,Canarias,"Tenerife, S.C.",0,0,0
2015,Canarias,"Tenerife, S.C.",0,0,0
2016,Canarias,"Tenerife, S.C.",0,0,0
2017,Canarias,"Tenerife, S.C.",0,0,0
2018,Canarias,"Tenerife, S.C.",0,0,0
2019,Canarias,"Tenerife, S.C.",0,0,0
2020,Canarias,"Tenerife, S.C.",0,0,0
2021,Canarias,"Tenerife, S.C.",0,0,0
2022,Canarias,"Tenerife, S.C.",0,0,0
2013,Cantabria,Cantabria,0,6,3
2014,Cantabria,Cantabria,0,5,5
2015,Cantabria,Cantabria,0,1,3
2016,Cantabria,Cantabria,0,1,2
2017,Cantabria,Cantabria,0,8,3
2018,Cantabria,Cantabria,0,8,4
2019,Cantabria,Cantabria,0,6,1
2020,Cantabria,Cantabria,0,3,3
2021,Cantabria,Cantabria,0,3,4
2022,Cantabria,Cantabria,0,5,4
2013,Castilla-La Mancha,Albacete,0,5,3
2014,Castilla-La Mancha,Albacete,0,3,7
2015,Castilla-La Mancha,Albacete,0,3,5
2016,Castilla-La Mancha,Albacete,0,5,3
2017,Castilla-La Mancha,Albacete,0,3,1
2018,Castilla-La Mancha,Albacete,1,1,0
2019,Castilla-La Mancha,Albacete,0,6,4
2020,Castilla-La Mancha,Albacete,0,6,3
2021,Castilla-La Mancha,Albacete,0,1,2
2022,Castilla-La Mancha,Albacete,0,1,1
2013,Castilla-La Mancha,Ciudad Real,0,5,11
2014,Castilla-La Mancha,Ciudad Real,0,3,1
2015,Castilla-La Mancha,Ciudad Real,0,4,5
2016,Castilla-La Mancha,Ciudad Real,0,7,6
2017,Castilla-La Mancha,Ciudad Real,0,7,4
2018,Castilla-La Mancha,Ciudad Real,0,3,5
2019,Castilla-La Mancha,Ciudad Real,0,3,2
2020,Castilla-La Mancha,Ciudad Real,0,3,1
2021,Castilla-La Mancha,Ciudad Real,0,3,1
2022,Castilla-La Mancha,Ciudad Real,0,14,3
2013,Castilla-La Mancha,Cuenca,0,6,8
2014,Castilla-La Mancha,Cuenca,0,2,4
2015,Castilla-La Mancha,Cuenca,0,2,6
2016,Castilla-La Mancha,Cuenca,0,2,7
2017,Castilla-La Mancha,Cuenca,0,3,2
2018,Castilla-La Mancha,Cuenca,0,4,3
2019,Castilla-La Mancha,Cuenca,0,1,0
2020,Castilla-La Mancha,Cuenca,0,4,7
2021,Castilla-La Mancha,Cuenca,0,10,6
2022,Castilla-La Mancha,Cuenca,3,7,2
2013,Castilla-La Mancha,Guadalajara,0,2,1
2014,Castilla-La Mancha,Guadalajara,0,4,2
2015,Castilla-La Mancha,Guadalajara,0,1,1
2016,Castilla-La Mancha,Guadalajara,0,1,1
2017,Castilla-La Mancha,Guadalajara,0,1,3
2018,Castilla-La Mancha,Guadalajara,0,2,1
2019,Castilla-La Mancha,Guadalajara,0,0,0
2020,Castilla-La Mancha,Guadalajara,0,0,3
2021,Castilla-La Mancha,Guadalajara,0,2,0
2022,Castilla-La Mancha,Guadalajara,0,3,2
2013,Castilla-La Mancha,Toledo,0,3,7
2014,Castilla-La Mancha,Toledo,2,6,6
2015,Castilla-La Mancha,Toledo,0,4,1
2016,Castilla-La Mancha,Toledo,2,8,4
2017,Castilla-La Mancha,Toledo,1,10,7
2018,Castilla-La Mancha,Toledo,0,6,5
2019,Castilla-La Mancha,Toledo,0,6,4
2020,Castilla-La Mancha,Toledo,0,7,1
2021,Castilla-La Mancha,Toledo,1,6,7
2022,Castilla-La Mancha,Toledo,0,8,3
2013,Castilla y León,Burgos,2,4,6
2014,Castilla y León,Burgos,6,2,5
2015,Castilla y León,Burgos,6,5,11
2016,Castilla y León,Burgos,3,3,15
2017,Castilla y León,Burgos,1,3,11
2018,Castilla y León,Burgos,2,6,6
2019,Castilla y León,Burgos,0,0,3
2020,Castilla y León,Burgos,0,3,6
2021,Castilla y León,Burgos,0,3,4
2022,Castilla y León,Burgos,0,3,9
2013,Castilla y León,León,1,6,5
2014,Castilla y León,León,0,1,13
2015,Castilla y León,León,0,9,5
2016,Castilla y León,León,0,0,7
2017,Castilla y León,León,0,2,4
2018,Castilla y León,León,3,3,8
2019,Castilla y León,León,0,3,9
2020,Castilla y León,León,0,5,3
2021,Castilla y León,León,1,5,2
2022,Castilla y León,León,0,2,4
2013,Castilla y León,Palencia,0,1,3
2014,Castilla y León,Palencia,0,6,1
2015,Castilla y León,Palencia,0,1,0
2016,Castilla y León,Palencia,0,2,0
2017,Castilla y León,Palencia,0,3,1
2018,Castilla y León,Palencia,0,2,1
2019,Castilla y León,Palencia,0,0,1
2020,Castilla y León,Palencia,0,0,4
2021,Castilla y León,Palencia,0,1,0
2022,Castilla y León,Palencia,0,1,1
2013,Castilla y León,Salamanca,0,2,2
2014,Castilla y León,Salamanca,0,2,1
2015,Castilla y León,Salamanca,0,7,0
2016,Castilla y León,Salamanca,0,1,2
2017,Castilla y León,Salamanca,0,3,1
2018,Castilla y León,Salamanca,0,3,3
2019,Castilla y León,Salamanca,0,1,0
2020,Castilla y León,Salamanca,0,3,6
2021,Castilla y León,Salamanca,0,3,2
2022,Castilla y León,Salamanca,0,8,0
2013,Castilla y León,Segovia,0,1,0
2014,Castilla y León,Segovia,0,2,5
2015,Castilla y León,Segovia,0,1,8
2016,Castilla y León,Segovia,2,2,4
2017,Castilla y León,Segovia,1,0,4
2018,Castilla y León,Segovia,1,2,2
2019,Castilla y León,Segovia,0,1,3
2020,Castilla y León,Segovia,0,1,4
2021,Castilla y León,Segovia,0,0,1
2022,Castilla y León,Segovia,0,0,6
2013,Castilla y León,Soria,0,1,3
2014,Castilla y León,Soria,0,1,7
2015,Castilla y León,Soria,0,1,6
2016,Castilla y León,Soria,0,3,13
2017,Castilla y León,Soria,0,1,4
2018,Castilla y León,Soria,0,1,8
2019,Castilla y León,Soria,0,1,2
2020,Castilla y León,Soria,0,1,2
2021,Castilla y León,Soria,0,0,4
2022,Castilla y León,Soria,0,2,7
2013,Castilla y León,Valladolid,0,3,3
2014,Castilla y León,Valladolid,0,1,1
2015,Castilla y León,Valladolid,0,5,3
2016,Castilla y León,Valladolid,0,6,3
2017,Castilla y León,Valladolid,0,7,2
2018,Castilla y León,Valladolid,0,8,3
2019,Castilla y León,Valladolid,0,7,2
2020,Castilla y León,Valladolid,0,4,0
2021,Castilla y León,Valladolid,0,8,6
2022,Castilla y León,Valladolid,0,5,4
2013,Castilla y León,Zamora,0,2,1
2014,Castilla y León,Zamora,0,1,12
2015,Castilla y León,Zamora,0,1,8
2016,Castilla y León,Zamora,0,4,3
2017,Castilla y León,Zamora,0,4,3
2018,Castilla y León,Zamora,0,2,7
2019,Castilla y León,Zamora,0,4,3
2020,Castilla y León,Zamora,0,2,4
2021,Castilla y León,Zamora,0,0,5
2022,Castilla y León,Zamora,0,9,3
2013,Castilla y León,Ávila,0,0,12
2014,Castilla y León,Ávila,0,2,1
2015,Castilla y León,Ávila,2,0,8
2016,Castilla y León,Ávila,0,2,4
2017,Castilla y León,Ávila,1,1,1
2018,Castilla y León,Ávila,0,3,5
2019,Castilla y León,Ávila,0,1,1
2020,Castilla y León,Ávila,0,0,6
2021,Castilla y León,Ávila,0,0,2
2022,Castilla y León,Ávila,0,2,9
2013,Cataluña,Barcelona,7,8,7
2014,Cataluña,Barcelona,3,6,5
2015,Cataluña,Barcelona,2,5,4
2016,Cataluña,Barcelona,1,2,4
2017,Cataluña,Barcelona,8,6,5
2018,Cataluña,Barcelona,6,4,3
2019,Cataluña,Barcelona,6,10,2
2020,Cataluña,Barcelona,3,8,8
2021,Cataluña,Barcelona,5,4,3
2022,Cataluña,Barcelona,0,18,1
2013,Cataluña,Gerona,1,0,11
2014,Cataluña,Gerona,2,0,4
2015,Cataluña,Gerona,0,0,0
2016,Cataluña,Gerona,4,1,9
2017,Cataluña,Gerona,3,1,10
2018,Cataluña,Gerona,5,1,10
2019,Cataluña,Gerona,2,2,4
2020,Cataluña,Gerona,1,0,3
2021,Cataluña,Gerona,4,1,8
2022,Cataluña,Gerona,0,7,13
2013,Cataluña,Lérida,2,5,2
2014,Cataluña,Lérida,0,0,4
2015,Cataluña,Lérida,0,0,0
2016,Cataluña,Lérida,0,4,4
2017,Cataluña,Lérida,0,4,7
2018,Cataluña,Lérida,0,2,6
2019,Cataluña,Lérida,1,6,2
2020,Cataluña,Lérida,0,3,2
2021,Cataluña,Lérida,0,13,0
2022,Cataluña,Lérida,0,1,1
2013,Cataluña,Tarragona,6,2,9
2014,Cataluña,Tarragona,4,1,11
2015,Cataluña,Tarragona,4,3,24
2016,Cataluña,Tarragona,16,1,11
2017,Cataluña,Tarragona,1,1,6
2018,Cataluña,Tarragona,3,8,17
2019,Cataluña,Tarragona,7,1,10
2020,Cataluña,Tarragona,1,5,6
2021,Cataluña,Tarragona,0,4,4
2022,Cataluña,Tarragona,0,11,7
2013,Ceuta,Ceuta,0,0,0
2014,Ceuta,Ceuta,0,0,0
2015,Ceuta,Ceuta,0,0,1
2016,Ceuta,Ceuta,0,0,0
2017,Ceuta,Ceuta,0,0,1
2018,Ceuta,Ceuta,0,0,0
2019,Ceuta,Ceuta,0,0,0
2020,Ceuta,Ceuta,0,0,1
2021,Ceuta,Ceuta,0,0,0
2022,Ceuta,Ceuta,0,0,0
2013,C. Valenciana,Alicante,3,7,10
2014,C. Valenciana,Alicante,2,13,11
2015,C. Valenciana,Alicante,2,8,7
2016,C. Valenciana,Alicante,0,10,11
2017,C. Valenciana,Alicante,2,5,11
2018,C. Valenciana,Alicante,5,9,11
2019,C. Valenciana,Alicante,6,8,9
2020,C. Valenciana,Alicante,0,12,8
2021,C. Valenciana,Alicante,3,6,8
2022,C. Valenciana,Alicante,0,11,8
2013,C. Valenciana,Castellón,1,0,9
2014,C. Valenciana,Castellón,3,2,11
2015,C. Valenciana,Castellón,3,2,3
2016,C. Valenciana,Castellón,8,3,10
2017,C. Valenciana,Castellón,1,2,11
2018,C. Valenciana,Castellón,5,2,12
2019,C. Valenciana,Castellón,2,1,8
2020,C. Valenciana,Castellón,0,2,3
2021,C. Valenciana,Castellón,0,2,7
2022,C. Valenciana,Castellón,0,3,10
2013,C. Valenciana,Valencia,5,16,4
2014,C. Valenciana,Valencia,4,14,8
2015,C. Valenciana,Valencia,1,13,5
2016,C. Valenciana,Valencia,3,11,6
2017,C. Valenciana,Valencia,5,10,10
2018,C. Valenciana,Valencia,1,19,12
2019,C. Valenciana,Valencia,0,16,4
2020,C. Valenciana,Valencia,0,12,5
2021,C. Valenciana,Valencia,0,12,4
2022,C. Valenciana,Valencia,0,22,2
2013,Extremadura,Badajoz,0,0,5
2014,Extremadura,Badajoz,0,2,7
2015,Extremadura,Badajoz,0,1,5
2016,Extremadura,Badajoz,0,2,6
2017,Extremadura,Badajoz,0,3,4
2018,Extremadura,Badajoz,0,1,8
2019,Extremadura,Badajoz,0,6,5
2020,Extremadura,Badajoz,0,2,5
2021,Extremadura,Badajoz,0,2,8
2022,Extremadura,Badajoz,0,2,3
2013,Extremadura,Cáceres,0,4,2
2014,Extremadura,Cáceres,0,0,4
2015,Extremadura,Cáceres,0,3,1
2016,Extremadura,Cáceres,0,3,5
2017,Extremadura,Cáceres,0,4,0
2018,Extremadura,Cáceres,0,4,2
2019,Extremadura,Cáceres,0,4,0
2020,Extremadura,Cáceres,0,2,0
2021,Extremadura,Cáceres,0,2,1
2022,Extremadura,Cáceres,0,1,2
2013,Galicia,"Coruña, A",0,1,20
2014,Galicia,"Coruña, A",1,1,11
2015,Galicia,"Coruña, A",2,4,26
2016,Galicia,"Coruña, A",1,1,8
2017,Galicia,"Coruña, A",1,0,10
2018,Galicia,"Coruña, A",1,1,13
2019,Galicia,"Coruña, A",1,2,10
2020,Galicia,"Coruña, A",1,3,3
2021,Galicia,"Coruña, A",1,1,6
2022,Galicia,"Coruña, A",4,1,5
2013,Galicia,Lugo,0,1,2
2014,Galicia,Lugo,0,2,5
2015,Galicia,Lugo,0,2,2
2016,Galicia,Lugo,0,4,5
2017,Galicia,Lugo,0,2,7
2018,Galicia,Lugo,0,1,7
2019,Galicia,Lugo,0,2,6
2020,Galicia,Lugo,0,1,6
2021,Galicia,Lugo,0,0,3
2022,Galicia,Lugo,0,1,6
2013,Galicia,Orense,0,2,6
2014,Galicia,Orense,0,2,5
2015,Galicia,Orense,0,0,0
2016,Galicia,Orense,0,2,3
2017,Galicia,Orense,0,0,3
2018,Galicia,Orense,0,3,4
2019,Galicia,Orense,0,0,5
2020,Galicia,Orense,0,0,5
2021,Galicia,Orense,0,0,2
2022,Galicia,Orense,0,0,1
2013,Galicia,Pontevedra,0,2,7
2014,Galicia,Pontevedra,0,0,6
2015,Galicia,Pontevedra,0,4,10
2016,Galicia,Pontevedra,0,1,9
2017,Galicia,Pontevedra,1,0,5
2018,Galicia,Pontevedra,4,1,7
2019,Galicia,Pontevedra,4,0,7
2020,Galicia,Pontevedra,0,1,5
2021,Galicia,Pontevedra,1,3,8
2022,Galicia,Pontevedra,0,0,7
2013,Madrid,Madrid,1,34,0
2014,Madrid,Madrid,2,21,1
2015,Madrid,Madrid,2,23,2
2016,Madrid,Madrid,2,17,0
2017,Madrid,Madrid,1,12,0
2018,Madrid,Madrid,1,20,2
2019,Madrid,Madrid,3,40,1
2020,Madrid,Madrid,1,14,1
2021,Madrid,Madrid,3,26,3
2022,Madrid,Madrid,8,19,3
2013,Melilla,Melilla,0,0,0
2014,Melilla,Melilla,0,0,0
2015,Melilla,Melilla,0,0,0
2016,Melilla,Melilla,0,0,0
2017,Melilla,Melilla,0,0,0
2018,Melilla,Melilla,0,0,0
2019,Melilla,Melilla,0,0,0
2020,Melilla,Melilla,0,0,0
2021,Melilla,Melilla,0,0,0
2022,Melilla,Melilla,0,0,0
2013,Murcia,Murcia,1,4,1
2014,Murcia,Murcia,2,7,3
2015,Murcia,Murcia,3,5,2
2016,Murcia,Murcia,0,7,3
2017,Murcia,Murcia,1,16,1
2018,Murcia,Murcia,0,13,3
2019,Murcia,Murcia,2,8,1
2020,Murcia,Murcia,2,5,1
2021,Murcia,Murcia,3,9,0
2022,Murcia,Murcia,3,8,4
2013,Navarra,Navarra,2,0,0
2014,Navarra,Navarra,2,0,0
2015,Navarra,Navarra,0,0,0
2016,Navarra,Navarra,0,0,0
2017,Navarra,Navarra,0,0,0
2018,Navarra,Navarra,0,0,0
2019,Navarra,Navarra,0,0,0
2020,Navarra,Navarra,0,0,0
2021,Navarra,Navarra,0,0,0
2022,Navarra,Navarra,3,0,0
2013,País Vasco,Guipúzcoa,0,0,0
2014,País Vasco,Guipúzcoa,0,0,0
2015,País Vasco,Guipúzcoa,0,0,0
2016,País Vasco,Guipúzcoa,0,0,0
2017,País Vasco,Guipúzcoa,0,0,0
2018,País Vasco,Guipúzcoa,0,0,0
2019,País Vasco,Guipúzcoa,0,0,0
2020,País Vasco,Guipúzcoa,0,0,0
2021,País Vasco,Guipúzcoa,0,0,0
2022,País Vasco,Guipúzcoa,0,0,0
2013,País Vasco,Vizcaya,0,0,0
2014,País Vasco,Vizcaya,0,0,0
2015,País Vasco,Vizcaya,1,0,0
2016,País Vasco,Vizcaya,0,0,0
2017,País Vasco,Vizcaya,0,0,0
2018,País Vasco,Vizcaya,1,0,0
2019,País Vasco,Vizcaya,1,0,0
2020,País Vasco,Vizcaya,0,0,0
2021,País Vasco,Vizcaya,0,0,0
2022,País Vasco,Vizcaya,0,0,0
2013,País Vasco,Álava,3,0,0
2014,País Vasco,Álava,0,0,0
2015,País Vasco,Álava,1,0,0
2016,País Vasco,Álava,0,0,0
2017,País Vasco,Álava,1,0,0
2018,País Vasco,Álava,1,0,0
2019,País Vasco,Álava,0,0,0
2020,País Vasco,Álava,0,0,0
2021,País Vasco,Álava,0,0,0
2022,País Vasco,Álava,0,0,0
2013,La Rioja,"Rioja, La",2,0,4
2014,La Rioja,"Rioja, La",2,0,2
2015,La Rioja,"Rioja, La",1,0,10
2016,La Rioja,"Rioja, La",0,0,14
2017,La Rioja,"Rioja, La",0,0,15
2018,La Rioja,"Rioja, La",0,0,6
2019,La Rioja,"Rioja, La",1,0,9
2020,La Rioja,"Rioja, La",3,1,5
2021,La Rioja,"Rioja, La",0,0,2
2022,La Rioja,"Rioja, La",1,0,3
